Year,inactive,MF,MR,not.tagged,Seedling,SF,SR,Recruitment,Total,Prop.inactive,Prop.MF,Prop.MR,Prop.Seedling,Prop.SF,Prop.SR,Prop.Rec,Plot,Site
2002,1,0,17,0,0,0,81,57,99,1.0101010101010102,0,17.17171717171717,0,0,81.81818181818183,57.57575757575758,UAA,Arapaho
2003,3,0,4,0,2,8,63,19,80,3.75,0,5,2.5,10,78.75,23.75,UAA,Arapaho
2004,1,0,0,0,3,1,94,61,99,1.0101010101010102,0,0,3.0303030303030303,1.0101010101010102,94.94949494949495,61.61616161616161,UAA,Arapaho
2005,2,0,7,0,1,6,148,93,164,1.2195121951219512,0,4.2682926829268295,0.6097560975609756,3.6585365853658534,90.2439024390244,56.70731707317073,UAA,Arapaho
2006,12,0,3,0,0,11,130,38,156,7.6923076923076925,0,1.9230769230769231,0,7.051282051282051,83.33333333333334,24.358974358974358,UAA,Arapaho
2007,6,1,10,0,7,20,195,126,239,2.510460251046025,0.41841004184100417,4.184100418410042,2.928870292887029,8.368200836820083,81.58995815899581,52.719665271966534,UAA,Arapaho
2008,1,0,15,104,8,3,289,214,316,0.31645569620253167,0,4.746835443037975,2.5316455696202533,0.949367088607595,91.45569620253164,67.72151898734177,UAA,Arapaho
2009,0,0,20,104,66,14,336,130,436,0,0,4.587155963302752,15.137614678899084,3.211009174311927,77.06422018348624,29.81651376146789,UAA,Arapaho
1990,0,0,1,0,0,1,66,NA,68,0,0,1.4705882352941175,0,1.4705882352941175,97.05882352941177,NA,UNK,Niobrara
1991,0,0,1,0,4,0,68,21,73,0,0,1.36986301369863,5.47945205479452,0,93.15068493150685,28.767123287671232,UNK,Niobrara
1992,1,0,3,0,0,2,66,20,72,1.3888888888888888,0,4.166666666666666,0,2.7777777777777777,91.66666666666666,27.77777777777778,UNK,Niobrara
1993,2,0,4,0,0,3,59,22,68,2.941176470588235,0,5.88235294117647,0,4.411764705882353,86.76470588235294,32.35294117647059,UNK,Niobrara
1994,1,0,5,0,1,0,71,21,78,1.282051282051282,0,6.41025641025641,1.282051282051282,0,91.02564102564102,26.923076923076923,UNK,Niobrara
1995,0,0,8,0,2,1,78,26,89,0,0,8.98876404494382,2.247191011235955,1.1235955056179776,87.64044943820225,29.213483146067414,UNK,Niobrara
1996,0,1,4,0,0,6,79,20,90,0,1.1111111111111112,4.444444444444445,0,6.666666666666667,87.77777777777777,22.22222222222222,UNK,Niobrara
1997,4,0,5,0,1,0,70,28,80,5,0,6.25,1.25,0,87.5,35,UNK,Niobrara
1998,1,0,0,0,3,1,76,22,81,1.2345679012345678,0,0,3.7037037037037033,1.2345679012345678,93.82716049382715,27.160493827160494,UNK,Niobrara
