Year,Month,ppt (mm),tmean (degrees C),PET,spei_1,spei_12,Site,Wat.Bal,spei1_RP,spei12_RP,ppt.anomaly,tmean.anomaly
1973,2,6.67,-1.9,0,-0.5218817431142964,0.9188985617363036,Niobrara,6.67,-0.49486619161648987,1.0360360282265408,-37.06577,-10.755208
1973,3,72.62,4.6,16.295297735852632,1.3865272129017157,1.3192602495783046,Niobrara,56.324702264147376,1.35455238841621,1.4100064297873074,28.884230000000002,-4.255208
1973,4,40.29,7.6,32.76031607061178,-0.3996655859692981,1.2310125373142118,Niobrara,7.52968392938822,-0.21126898308984743,1.3225071515942026,-3.445770000000003,-1.2552079999999997
1973,5,124.06,13.6,75.1011907275682,0.939711719486419,1.183922427932161,Niobrara,48.95880927243181,1.110836810064386,1.3352366336567076,80.32423,4.744792
1973,6,38.06,20.6,125.96349381858043,-1.362871806769895,0.7202742080588005,Niobrara,-87.90349381858043,-1.2881460535949782,0.8846032045317022,-5.67577,11.744792000000002
1973,7,75.11,23.5,149.9843887173685,0.17608231907775004,-0.043941736605627356,Niobrara,-74.87438871736849,0.16287783670239295,0.18096843098619123,31.374229999999997,14.644792
1973,8,42.42,24.8,148.2680393834187,-1.1079136412319364,-0.11251315320328548,Niobrara,-105.84803938341871,-1.0885613030892554,0.13278278470089294,-1.3157700000000006,15.944792000000001
1973,9,142.18,15.2,70.86231595087014,2.0507681325320775,0.9251028219661632,Niobrara,71.31768404912987,2.0482424412579903,1.1107213167284644,98.44423,6.344792
1973,10,42.79,12.3,49.85462581366972,0.054064639556702286,0.9207742999980673,Niobrara,-7.064625813669721,0.28536786657433927,1.0897914818108887,-0.9457700000000031,3.4447920000000014
1973,11,26.24,1.8,4.150234099294435,0.7414319995205596,0.6887314321137115,Niobrara,22.089765900705565,0.7508791270608691,0.8827024717061823,-17.495770000000004,-7.0552079999999995
1973,12,9.08,-4,0,-0.007775909915033822,0.6507590573825274,Niobrara,9.08,-0.1420847292567977,0.8273716546594532,-34.655770000000004,-12.855208
1974,1,5.04,-5.9,0,-0.4490719488163468,0.5975496527701408,Niobrara,5.04,-0.4875733075812596,0.7347187379700666,-38.69577,-14.755208
1974,2,6.91,-0.9,0,-0.49023026419314547,0.6098354434002958,Niobrara,6.91,-0.46824135202904743,0.7518864668675693,-36.825770000000006,-9.755208
1974,3,14.69,3.4,11.306469179833568,-1.0751631660404386,0.20467629468455098,Niobrara,3.383530820166431,-1.1645659901822696,0.4019909495338719,-29.045770000000005,-5.455207999999999
1974,4,61.94,9.2,41.27394664773993,0.016191693580724677,0.31499350223406797,Niobrara,20.666053352260064,0.20476698832820917,0.5421908998891694,18.204229999999995,0.344792
1974,5,69.94,14.4,80.47521489168939,-0.37483999924814987,-0.25507671465781895,Niobrara,-10.535214891689392,-0.24699991117775694,-0.05906413661438111,26.204229999999995,5.544792000000001
1974,6,74.48,19.8,120.07288410438166,-0.26423282898744255,0.09973812870630927,Niobrara,-45.59288410438165,-0.035343370101023563,0.27474276023607197,30.74423,10.944792000000001
1974,7,30.74,26.5,173.43504629925468,-1.51306618654559,-0.43566362992670143,Niobrara,-142.69504629925467,-1.698241755401083,-0.21159331582155383,-12.995770000000004,17.644792000000002
1974,8,49.64,20.7,119.16595518809484,0.2857141544950866,-0.14792983563764406,Niobrara,-69.52595518809484,0.33908450785536626,0.09724140550553813,5.904229999999998,11.844792
1974,9,15.29,15.5,72.55689704913921,-0.7230252376129866,-1.1400284763914172,Niobrara,-57.26689704913921,-0.6889277136943298,-0.9888799003686763,-28.445770000000003,6.644792000000001
1974,10,14.9,11.8,47.414689118947045,-1.0452326939230483,-1.3517253022016367,Niobrara,-32.51468911894705,-0.887693506789,-1.186792058340915,-28.835770000000004,2.9447920000000014
1974,11,3.03,2.7,6.776298544844316,-0.9984366101806069,-1.529985365012454,Niobrara,-3.7462985448443162,-1.0136549089243656,-1.396532667351711,-40.70577,-6.155207999999999
1974,12,1.73,-2.1,0,-1.2041527810823287,-1.6005710313591512,Niobrara,1.73,-1.3619882908308623,-1.4599447978264324,-42.005770000000005,-10.955207999999999
1975,1,19.27,-4,0,1.4861543613235955,-1.4997345650548748,Niobrara,19.27,1.4939603930240706,-1.4201290346107345,-24.465770000000003,-12.855208
1975,2,5.38,-7.1,0,-0.696894849990699,-1.5373745540377366,Niobrara,5.38,-0.6412514833660276,-1.4587856126214618,-38.35577,-15.955207999999999
1975,3,52.41,-1.6,0,1.2761273106280027,-1.200559213418387,Niobrara,52.41,1.2604809503917307,-1.0969779181153543,8.674229999999994,-10.455207999999999
1975,4,39.4,6.7,28.12942968856984,-0.27975308588814446,-1.3264892346322064,Niobrara,11.27057031143016,-0.09057498969662471,-1.2183044687640185,-4.335770000000004,-2.155207999999999
1975,5,46.24,14.9,83.86606108559886,-1.0202915725976625,-1.6190174659406327,Niobrara,-37.626061085598856,-0.9874309857546043,-1.5045130839108811,2.5042299999999997,6.044792000000001
1975,6,110.81,19.4,117.14607174336874,0.6571035263368368,-1.1728803474645888,Niobrara,-6.336071743368734,0.8887173864183251,-1.0266615109413395,67.07423,10.544792
1975,7,47.15,25.2,163.2009476922051,-0.8604748782376664,-0.8892077810534004,Niobrara,-116.05094769220509,-0.9444488896442345,-0.6945933752796897,3.4142299999999963,16.344791999999998
1975,8,50.11,23.2,136.78114181472327,-0.33192228830309856,-1.05940396129482,Niobrara,-86.67114181472327,-0.29978571769175444,-0.8806929052587197,6.374229999999997,14.344792
1975,9,11.86,16,75.39642301172564,-0.9440770969918716,-1.0758704147504534,Niobrara,-63.536423011725645,-0.9173850281436747,-0.9122883875860658,-31.875770000000003,7.144792000000001
1975,10,19.32,11.5,45.961016294371504,-0.7756576397780051,-1.0462300202404673,Niobrara,-26.641016294371504,-0.5979750682775576,-0.843580354467437,-24.415770000000002,2.6447920000000007
1975,11,25.12,0.9,1.7950789638000952,0.811670805919385,-0.826862944267881,Niobrara,23.324921036199907,0.8137392099507791,-0.6052810995243041,-18.61577,-7.955207999999999
