Year,Month,ppt (mm),tmean (degrees C),PET,spei_1,spei_12,Site,Wat.Bal,spei1_RP,spei12_RP,ppt.anomaly,tmean.anomaly
1951,7,108.32,20.9,130.52493418823155,1.3742913903909542,1.676282508076106,Arapaho,-22.20493418823156,1.3907769248382602,2.147577133119926,71.45224999999999,12.289582999999999
1951,8,52.44,20.5,118.57780797853255,0.5245064820374288,1.3642914405939133,Arapaho,-66.13780797853255,0.7109125659674189,1.8445158497396874,15.572249999999997,11.889583
1951,9,90.67,13.9,65.55348178164012,1.6361400746908312,1.5198024199383766,Arapaho,25.116518218359886,1.5635306860503935,1.8586392131324168,53.80225,5.289583
1951,10,40.16,8.3,32.933744900789,0.9326539784680852,1.7345010938758678,Arapaho,7.226255099210995,1.3370301043345934,2.030580338331383,3.2922499999999957,-0.3104169999999993
1951,11,3.55,1.5,3.871454056230516,-0.5080815090403187,1.730115155337654,Arapaho,-0.32145405623051637,-0.5103779855231144,2.1119901876801133,-33.317750000000004,-7.110417
1951,12,16.91,-5.6,0,1.2598332612052299,1.80499400331663,Arapaho,16.91,1.2479904180548775,2.170966338804475,-19.95775,-14.210417
1952,1,8.47,-2.8,0,0.22580348550930807,2.014276460682847,Arapaho,8.47,0.23907026935398482,2.1008269155428834,-28.397750000000002,-11.410416999999999
1952,2,21.69,-1.2,0,1.3669425060554525,2.088714427437814,Arapaho,21.69,1.2189094518440677,2.133535938526639,-15.17775,-9.810417
1952,3,25.73,-1.4,0,0.7316145252636738,2.196322564416941,Arapaho,25.73,0.6392416173603875,2.19056587995999,-11.13775,-10.010417
1952,4,34.7,8.9,41.65113564609651,-0.6076860846184883,2.1622413611070996,Arapaho,-6.95113564609651,-0.5188461518104569,2.2126519802806963,-2.167749999999998,0.28958300000000037
1952,5,105.66,13.4,75.68197102221642,0.8257368595052267,2.290013415158551,Arapaho,29.97802897778358,0.6842665546426663,2.5742064881819653,68.79225,4.789583
1952,6,47.4,22.2,137.77182873989977,-1.531935347944717,1.2875419687744583,Arapaho,-90.37182873989977,-1.5123074928804132,1.5492493139507095,10.532249999999998,13.589583
