"","Year","IAsurv","IAtoSF","IAtoIA","IAtoMR","IAtoSR","SRsurv","SRtoIA","SRtoSF","SRtoMF","SRtoMR","SRtoSR","MRsurv","MRtoSF","MRtoMF","MRtoIA","MRtoMR","MRtoSR","Seedlingsurv","SeedlingtoSR","MR_rec","SR_rec","SF_rec","MF_rec","Seedling_rec"
"1",1991,1,0.00933984657169845,0.0381508699088146,0.0259144663406946,0.974085560847512,0.736253004318152,0.0130550768852584,0.0479034871486228,0.00238237045861344,0.0335705039172329,0.960072764442032,0.852822309658149,0.102443596526995,0.00534041832919544,0.0291262135922638,0.238843993834854,0.743902421720299,0.472826087129639,1,0.00878309822614389,0.294518419393957,0.00114907069900414,0.000355366027007847,3.19644435051882
"2",1992,1,0.00928353841457974,0.0344864640578845,0.0254522705388209,0.97454775403642,0.683674203766572,0.0409655131918461,0.0504348333470191,0.00238237045861344,0.0516772017783291,0.947324289895867,0.721126186103734,0.0820082801184587,0.00554993232157007,0.0291262135922638,0.251000074544546,0.743902421720299,0.472826087129639,1,0.00999038976299145,0.326758647705963,0.0011344614483671,0.000355366027007847,1.08602361667434
"3",1993,1,0.00906801374239972,0.0260185092004272,0.0238198385844727,0.97618017764103,0.637872199957173,0.0595590244642567,0.0541493290758915,0.00238237045861344,0.0424722149024461,0.953541819447368,0.794098164621148,0.120531396363572,0.00506517465629195,0.0291262135922638,0.234390250431537,0.743902421720299,0.472826087129639,1,0.0128944373477937,0.292985136233037,0.00112313887755841,0.000355366027007847,1.0945451000499
"4",1994,1,0.00901641397883955,0.0963592051243925,0.0234573167623965,0.976542697785856,0.766241821909951,0.0448006024612151,0.0333431894036618,0.00238237045861344,0.0428183774558364,0.953624220690024,0.878072994658343,0.150224829323699,0.00506517465629195,0.0291262135922638,0.236589274099221,0.743902421720299,0.472826087129639,1,0.00870569850884604,0.370267725582067,0.0030087582519198,0.000355366027007847,1.45898478016433
"5",1995,1,0.00891576570362277,0.0224607430109717,0.0702366587263319,0.92976357546145,0.706404215021157,0.0293077095095424,0.0252165055391121,0.00238237045861344,0.0843580790059287,0.92347646273775,0.866966651738494,0.0752266858475487,0.00515233047926955,0.0291262135922638,0.232244676769274,0.743902421720299,0.472826087129639,1,0.00967179894770361,0.313315090018536,0.00550559868299104,0.000355366027007847,1.66799928811498
"6",1996,1,0.00912049825125831,0.0275838433108242,0.0241990989529977,0.975800919094357,0.734285360494374,0.011218379879935,0.0456082397344194,0.00238237045861344,0.0339774390288271,0.960321294911656,0.744726265864136,0.0854654626998663,0.00468479574779115,0.0291262135922638,0.248636728759041,0.743902421720299,0.472826087129639,1,0.0082402788387703,0.223368386956946,0.00107704315520234,0.000355366027007847,1.4974196238576
"7",1997,1,0.00928353841457974,0.0344864640578845,0.0254522705388209,0.97454775403642,0.6185618548871,0.0821576769816221,0.0107476591218668,0.00238237045861344,0.0607209500403423,0.940984582338975,0.783248436143322,0.0752266858475487,0.00515233047926955,0.0291262135922638,0.223235765455674,0.743902421720299,0.472826087129639,1,0.0138611098088857,0.292622439291151,0.00108204814756291,0.000355366027007847,0.996873862355308
"8",1998,1,0.00877081291786257,0.0199533742880956,0.0218562391783044,0.978143768679959,0.642603739485365,0.033303338880747,0.0423284299353888,0.00238237045861344,0.0248388164990574,0.966268191422604,0.820168279570233,0.0698097709978408,0.00482699170274259,0.0291262135922638,0.224156138224948,0.743902421720299,0.472826087129639,1,0.00844401152892872,0.217279814799561,0.00110405669602253,0.000355366027007847,0.990177459642314
"9",1999,1,0.00912049825125831,0.0275838433108242,0.0241990989529977,0.975800919094357,0.549490911892339,0.0152178582029048,0.0118977779513662,0.00238237045861344,0.0554104330240451,0.94474639810953,0.759069408564246,0.0839913988993429,0.00566413417924505,0.0291262135922638,0.25353646249266,0.743902421720299,0.472826087129639,1,0.00743810499593113,0.345914244786077,0.00112453706238897,0.000355366027007847,0.995514423968513
"10",2000,1,0.00928353841457974,0.0344864640578845,0.0254522705388209,0.97454775403642,0.584839505314964,0.0506041249839839,0.0189456752987968,0.00238237045861344,0.0452008913437152,0.951546303738103,0.825365583413922,0.0998134805266217,0.00524394057888171,0.0291262135922638,0.246122594360881,0.743902421720299,0.472826087129639,1,0.00755459035834711,0.145262280123058,0.0011446330869384,0.000355366027007847,0.554343640403102
"11",2001,1,0.0169197586085738,0.106380322500842,0.0241990989529977,0.975800919094357,0.57477126416158,0.301253144774435,0.0289025172169896,0.00238237045861344,0.0293371058120747,0.960653391480869,0.804871177598012,0.0801529071722632,0.00544223525031286,0.0291262135922638,0.238843993834854,0.743902421720299,0.472826087129639,1,0.00802690927910541,0.198053578612367,0.0012273225952836,0.000355366027007847,4.62605283891769
"12",2002,1,0.00829282799639028,0.0146644507456027,0.0319504161025291,0.968049622746233,0.718559854869352,0.0509777525661129,0.0389658717497136,0.00238237045861344,0.084378594939065,0.928015737122338,0.80696542647695,0.0861183681415268,0.00578556712954654,0.0291262135922638,0.236065104368928,0.743902421720299,0.472826087129639,1,0.0138226282272464,0.563613804314087,0.00131841488258685,0.000355366027007847,0.288517755875515
"13",2003,1,0.00922823150196962,0.160658545254641,0.0250136284789807,0.974986393720476,0.64299011928122,0.0844677739903859,0.064701726486727,0.00238237045861344,0.0719396602155847,0.93455273619798,0.630020394913943,0.102443596526995,0.00534041832919544,0.0291262135922638,0.229410743073573,0.743902421720299,0.472826087129639,1,0.0107251823071707,0.198185937429375,0.00340105376958884,0.000355366027007847,1.15694401949304
"14",2004,1,0.00891576570362277,0.0224607430109717,0.0227776150882404,0.97722239647981,0.476224719436525,0.0140043486029215,0.0309321734452633,0.00238237045861344,0.047756336743753,0.949152434075352,0.580578733089636,0.0820082801184587,0.00554993232157007,0.0291262135922638,0.241156789567612,0.743902421720299,0.472826087129639,1,0.00826921281204204,0.265965381524,0.0012705441070301,0.000355366027007847,0.375325892985581
"15",2005,1,0.00933984657169845,0.0381508699088146,0.0259144663406946,0.974085560847512,0.602496103703478,0.0616897067345116,0.217017995296606,0.00238237045861344,0.0323516637957814,0.95807770686012,0.759069408564246,0.0839913988993429,0.00566413417924505,0.0291262135922638,0.243530185434068,0.743902421720299,0.472826087129639,1,0.0100212219463448,0.562024653608589,0.00131404544716285,0.000355366027007847,2.91989492396342
"16",2006,1,0.00917389469505885,0.0294367610821818,0.0245965016368218,0.975403518394877,0.768093168241169,0.0207886424017966,0.034472965808127,0.00238237045861344,0.0327627944682148,0.959039466030703,0.821809585770706,0.0839913988993429,0.108261314239735,0.0291262135922638,0.236065104368928,0.743902421720299,0.472826087129639,1,0.01169903692759,0.638437576552577,0.00405887240273464,0.000355366027007847,0.214929678004826
"17",2007,1,0.00933984657169845,0.268197164850337,0.0259144663406946,0.974085560847512,0.554762272778321,0.0111145314027573,0.0842516412953546,0.00238237045861344,0.0579233197670715,0.943265811644128,0.833954261344583,0.0820082801184587,0.0899650368538795,0.0291262135922638,0.243530185434068,0.743902421720299,0.472826087129639,1,0.00933125947595554,0.60606679606872,0.00122198748142963,0.000355366027007847,2.01728904004389
"18",2008,1,0.00933984657169845,0.268197164850337,0.0259144663406946,0.974085560847512,0.60753322665197,0.0141692043754129,0.0185747896190078,0.00238237045861344,0.0384185835197209,0.954674486751024,0.593112464733492,0.0839913988993429,0.00566413417924505,0.0291262135922638,0.243530185434068,0.743902421720299,0.472826087129639,1,0.00786984313918439,0.664383215785085,0.00119960298560887,0.000355366027007847,0.675230770758094
"19",2009,1,0.00928353841457974,0.0344864640578845,0.0254522705388209,0.97454775403642,0.725602947404585,0.0141692043754129,0.0864916663577441,0.00238237045861344,0.0497727988627041,0.947940451839948,0.821809585770706,0.111659080815211,0.00566413417924505,0.0291262135922638,0.245966861097565,0.743902421720299,0.472826087129639,1,0.01233064337464,0.849138456439522,0.0119553924998446,0.000355366027007847,0.375747850838091
