"","Year","IAsurv","IAtoSF","IAtoIA","IAtoMR","IAtoSR","SRsurv","SRtoIA","SRtoSF","SRtoMF","SRtoMR","SRtoSR","MRsurv","MRtoSF","MRtoMF","MRtoIA","MRtoMR","MRtoSR","Seedlingsurv","SeedlingtoSR","MR_rec","SR_rec","SF_rec","MF_rec","Seedling_rec"
"1",1991,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.64789350498459,0.0672483833779427,0.169868341870956,0.00462333019306684,0.0202832441400421,0.974127353383291,0.771754063009848,0.119012924580756,0.061395256108353,0.0554407660213195,0.20013704931439,0.724291420823909,0.694823768122125,1,0.0127070090217882,0.295307313327695,0.0111378519751676,0.000741475145001667,0.69890412056454
"2",1992,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.688033140411656,0.0478171367395527,0.324543068305941,0.0146979876165087,0.0714141038176628,0.934506113136841,0.777520145658929,0.0752900590539237,0.187209433297447,0.0202638046873038,0.495244821406152,0.530713304532345,0.278266887167115,1,0.014061260962489,0.49577896159947,0.0540671467379581,0.00404342829826503,0.091636904490841
"3",1993,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.721834680688642,0.00804746236294373,0.442041650460954,0.00466768927052104,0.0483164828550297,0.952078308091626,0.676105148764714,0.0724141232521723,0.265570617536019,0.0192931989250498,0.20013704931439,0.724291420823909,0.694823768122125,1,0.0383782519545172,1.71904276779548,0.132673759010289,0.0150540981681119,1.4982077016085
"4",1994,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.659107731277289,0.0203951267636581,0.23816725079779,0.0018731128073768,0.044441600134245,0.95523258006123,0.810035142227613,0.0840238823023625,0.0477404346768341,0.017353117787114,0.358504382981741,0.627431661939079,0.449524585192294,1,0.0365114952586483,0.608643286943919,0.0230478878914164,0.00476864884906483,1.43237045299463
"5",1995,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.597163345817851,0.0149185580911732,0.154593385324601,0.00344377365867703,0.028312959520157,0.969285111043108,0.847561766596242,0.118571432333515,0.0600756941877806,0.0142967830028013,0.525876772320177,0.48526971979537,0.0988831184840798,1,0.0182729465980458,0.444173360065749,0.0187225420002776,0.00393718526654581,0.464816678459606
"6",1996,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.702720169033471,0.0328042450609175,0.0860227242635994,0.00173300463339315,0.0267400832383334,0.971044912736799,0.724204771851755,0.0756302440417311,0.216548273300645,0.0156227182377235,0.303335617829413,0.675015910174198,0.597364388200054,1,0.0163791412030977,0.498498141977215,0.0142539862029541,0.00392098533393558,0.313979255738932
"7",1997,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.652364689947666,0.0358898696018626,0.104967289095937,0.00167567404575169,0.0249071391774258,0.972791152945662,0.737176023608748,0.0824486884040092,0.0458692756364666,0.0429912125685479,0.328475223211252,0.65299254484895,0.575380950198812,1,0.0145280957106444,0.45696533605658,0.0054558638001855,0.00177145998845261,0.0219652994228013
"8",1998,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.657985913648272,0.0135327382666472,0.0663246941021574,0.00289875179079637,0.073684171490887,0.92812076784991,0.814546152407801,0.114882187587161,0.122790813348592,0.0158779558464746,0.246835915944844,0.719742482430818,0.694823768122125,1,0.022927827840244,0.411819524930361,0.00665656706025865,0.000504443199491549,0.365836676603568
"9",1999,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.644070500039064,0.0135327382666473,0.121739893838916,0.0045829418454039,0.035533325537249,0.963443657966418,0.61445770719719,0.0838944074216863,0.127933688579506,0.0318541614043699,0.418740992854431,0.579728872095264,0.448027398516697,1,0.0248404125728987,0.347285679873617,0.00241581830218448,0.000490751263317524,0.180782156271454
"10",2000,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.703590745626259,0.0264459736294908,0.0679300842188371,0.00286873693572613,0.0271799449585853,0.971039577860901,0.770294354569703,0.0537226961183379,0.0537365301682972,0.013566276369801,0.555612394189806,0.455012844015972,0.390943035879549,1,0.0137283752141942,0.275116317662155,0.00823791364816345,0.000504443199491549,0.0695652158242706
"11",2001,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.431209734732222,0.0935080570621855,0.281016622697779,0.00647039396229547,0.0268669327486158,0.969747201198674,0.591676039167292,0.0756302440417311,0.165273176313704,0.0156227182377235,0.213353159100237,0.751574717007239,0.584452629800953,1,0.0158186521919365,0.145440492060303,0.00861433779709589,0.000516402012911943,0.747085884507101
"12",2002,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.61670273575441,0.011800037705751,0.0091916681733313,0.00208276100801889,0.181907759060695,0.831444521842325,0.659040773029496,0.068633681371483,0.0521625003396588,0.0180602413993459,0.294478687865024,0.676963351650974,0.340413623421448,1,0.079804700168877,0.681858887159069,0.00395548840517292,0.000691800143206276,0.0155889957258763
"13",2003,1,0.0536912751683586,0.0197368421053099,0.0496453900709939,0.950354609929006,0.494092223015824,0.0544523608774108,0.11787852820022,0.00207594410334386,0.0168306133784015,0.977780141144173,0.498578840836783,0.0866267376160383,0.0639640936483028,0.116678164661694,0.161001795831378,0.804514511794827,0.503607918877393,1,0.0126925061852506,0.197370008762319,0.004998425419065,0.000600657391711422,0.916566053953651
