"","VR","model","df","logLik","AIC","BIC","deviance","df.residual","nobs","adj.r.squared","npar","edf","statistic","p.value","AIC"
"15","","Drought Index, SPEI",8.71113268612634,-4.44093257169107,28.3041305156348,37.4757027562698,1.77540488164444,10.2888673138737,19,0.411608789857543,12,6.71113268612634,1.66315962983247,0.0898313737340964,0
"16","Survival of Seedling","Mean Temperature Anomaly",2.83551358177052,-20.6220859115094,48.9151989865599,52.5376075183063,9.75039501140303,16.1644864182295,19,0.15549424494084,12,0.835513581770518,0.330356005226416,0.0477342600506513,0
"17","","Total Precipitation Anomaly",2.25693709447756,-22.552136727948,51.618147644851,54.6941259895687,11.9468905800748,16.7430629055224,19,0.00100735458428225,12,0.256937094477523,0.0423897953633961,0.212043483297533,2.70294865829111
"18","","Drought Index, SPEI",2.31068135397176,-22.4497714024357,51.520905512815,54.6476420311055,11.8188503554156,16.6893186460282,19,0.00853145371989561,12,0.310681353971763,0.053902481643432,0.198886538414006,2.6057065262551
"19","Multiple Rosette to Single Rosette","Mean Temperature Anomaly",7.27231396040713,-10.115298171784,36.7752242643823,44.5879200164935,3.22628119577916,11.7276860395929,19,0.320532661534212,12,5.27231396040729,1.09262927690176,0.129871229831415,4.93774534560938
"20","","Total Precipitation Anomaly",3.04505877121611,-11.8736806881704,31.837478918773,35.6577900953286,3.8822816612774,15.9549412287839,19,0.399005453559134,12,1.0450587712161,1.07994165504644,0.00267222676061374,0
"21","","Drought Index, SPEI",2.80491465876941,-15.018403872359,37.6466370622568,41.2401467784004,5.40565988164579,16.1950853412306,19,0.175588245325915,12,0.804914658769407,0.352957970232537,0.0389054659112683,5.80915814348381
"22","Multiple Rosette to Multiple Rosette","Mean Temperature Anomaly",7.12187292184834,-15.2678657000505,46.7794772437976,54.4500906150276,5.54948799670667,11.8781270781517,19,0.310519690562595,12,5.12187292184826,1.04385073904704,0.136000011123283,3.5172494667761
"23","","Total Precipitation Anomaly",2.9887946021086,-17.6423192864021,43.2622277770215,47.0294008791415,7.12527379960422,16.0112053978914,19,0.343258519990079,12,0.988794602108601,0.840917711218016,0.00576361245727441,0
"24","","Drought Index, SPEI",2.74845794338921,-20.2362914056447,47.9694986980678,51.5096884915706,9.3623642573738,16.2515420566108,19,0.14982588753044,12,0.74845794338921,0.287791780311751,0.0530912913614553,4.70727092104632
"25","Multiple Rosette to Inactive","Mean Temperature Anomaly",2.00000000163701,-18.6647659461149,43.3295318955039,46.1628488345493,7.93492670976572,16.999999998363,19,-0.0493843409500172,12,3.16595985960726e-10,1.28808375409255e-11,0.589904353384402,0.802138261867874
"26","","Total Precipitation Anomaly",3.56376329522704,-16.699933521591,42.527393633636,46.8375895813375,6.45238385127893,15.436236704773,19,0.0602348258664599,12,1.56376329522704,0.25782246703235,0.221379034954108,0
"27","","Drought Index, SPEI",2.00000000006902,-18.6647659462221,43.3295318925822,46.1628488301467,7.93492670985525,16.999999999931,19,-0.0493843408650669,12,6.90233305374703e-11,3.29068753186255e-12,0.540559253126258,0.802138258946243
"28","Multiple Rosette to Flowering Multiple Rosette","Mean Temperature Anomaly",4.57467470659165,-18.7048603014807,48.5590700161448,53.8240101052232,7.96848650737513,14.4253252934084,19,0.209646341734772,12,2.57467470659166,0.708984163421365,0.0794562640146921,0
"29","","Total Precipitation Anomaly",2.00000008912365,-23.0391073109204,52.078214800088,54.9115318217592,12.5752563740991,16.9999999108764,19,-0.0583740192258251,12,8.91236469060309e-08,8.73164249948088e-10,0.83685162838177,3.51914478394325
"30","","Drought Index, SPEI",2.00000000006405,-23.0391073206306,52.0782146413894,54.9115315789492,12.5752563869527,16.9999999999359,19,-0.0583740147630183,12,6.40557341121552e-11,4.34895594290179e-12,0.444905505949496,3.51914462524464
"31","Multiple Rosette to Flowering Single Rosette","Mean Temperature Anomaly",2.0000000002466,1.5045755073437,2.99084898580581,5.82416592353803,0.949505025045328,16.9999999997534,19,0.0477670527191323,12,9.1327509553675e-10,7.32823284547721e-12,0.890190724704234,5.51019723956242
"32","","Total Precipitation Anomaly",6.8716881739133,8.8803132162869,-2.01725008474718,5.41707905854004,0.43683143110442,12.1283118260867,19,0.385943429325105,12,4.87168817391329,1.16472101275361,0.0931522318053611,0.502098169009425
"33","","Drought Index, SPEI",7.75401021834202,10.0136843452203,-2.51934825375661,5.74828022046692,0.387705160601795,11.245989781658,19,0.412241721125526,12,5.75401021834203,1.28604012648922,0.111963106403396,0
"34","Survival of Multiple Rosette","Mean Temperature Anomaly",2.00036933258143,-12.654585782906,31.3099102309748,34.1435759805603,4.21489033834604,16.9996306674186,19,-0.0534411706138891,12,0.000369332581159818,1.48576424404574e-05,0.592865406783096,3.91784709359131
"35","","Total Precipitation Anomaly",2.84201751209893,-9.85401405659281,27.3920631373835,31.0206142344498,3.13875602265033,16.1579824879011,19,0.174658050141791,12,0.84201751209893,0.425030595928338,0.0295480426443666,0
"36","","Drought Index, SPEI",2.75727611730406,-10.6018718637262,28.7182959620605,32.2668139827336,3.39583073494251,16.2427238826959,19,0.111718398622798,12,0.757276117304059,0.280526188601862,0.057319463219905,1.32623282467706
"37","Single Rosette to Single Rosette","Mean Temperature Anomaly",2.0000000004254,-14.17961938775,34.3592387763507,37.1925557142518,4.94884109653217,16.9999999995746,19,-0.0587593233401749,12,5.70196928154768e-10,3.09779863177931e-11,0.512001756836638,2.21647490721323
"38","","Total Precipitation Anomaly",2.72446002555859,-12.3469219090102,32.1427638691375,35.6602890936223,4.08057497274376,16.2755399744414,19,0.0881390547170028,12,0.724460025558586,0.248690121713368,0.0709255161880209,0
"39","","Drought Index, SPEI",2.60385893201201,-12.8909775364793,32.9896729369826,36.3932977877919,4.32108667860503,16.396141067988,19,0.0414958627301806,12,0.603858932012006,0.157654786108557,0.112079926954411,0.846909067845139
"40","Single Rosette to Multiple Rosette","Mean Temperature Anomaly",2.00000000039485,-16.9597596176792,39.919519236148,42.7528361740202,6.63129273104717,16.9999999996051,19,-0.0588082915955548,12,5.32746702209514e-10,2.68438269435598e-11,0.532690978752475,1.86289039904706
"41","","Total Precipitation Anomaly",2.69929262470505,-15.3290217938454,38.056628837101,41.5503849872153,5.58532797028672,16.300707375295,19,0.0699414619398657,12,0.699292624705016,0.215207850338666,0.0869616049852864,0
"42","","Drought Index, SPEI",2.52289840067263,-15.9483668428243,38.9425304869938,42.2696930562321,5.96159086964584,16.4771015993274,19,0.0179142631534487,12,0.522898400672634,0.117525768849826,0.14182053551218,0.885901649892823
"43","Single Rosette to Flowering Multiple Rosette","Mean Temperature Anomaly",7.40546334963996,-2.70858206258215,22.2280908244442,30.1665380497991,1.47945801419578,11.59453665036,19,0.669980692247623,12,5.40546334964006,3.31287690664062,0.00359722385545602,0
"44","","Total Precipitation Anomaly",6.131664586939,-10.65105096432,35.5654311025179,42.300853124764,3.41345567354282,12.868335413061,19,0.313940160709207,12,4.13166458693901,0.856648881074932,0.131906748199137,13.3373402780737
"45","","Drought Index, SPEI",2.0639964553652,-16.3395716685852,38.8071362479008,41.7008939323755,6.21221071432363,16.9360035446348,19,0.0513077684262232,12,0.0639964553651963,0.00612073418783651,0.351930601083325,16.5790454234566
"46","Single Rosette to Flowering Single Rosette","Mean Temperature Anomaly",5.31387509335987,-20.1850538323412,52.9978578514022,58.9609275991594,9.3120049394168,13.6861249066401,19,0.437208916059671,12,3.31387509335991,0.922616435528512,0.0678956716447027,0
"47","","Total Precipitation Anomaly",2.19514317561096,-25.4978387603554,57.3859638719327,60.4035816309973,16.289894401215,16.804856824389,19,0.198196472801376,12,0.195143175610957,0.0293024439785675,0.234329870604979,4.38810602053046
"48","","Drought Index, SPEI",4.86941824186311,-20.6518686055877,53.0425736949017,58.5858810675478,9.78101066423088,14.1305817581369,19,0.427456879998712,12,2.86941824186311,0.903381263394208,0.0534673731003084,0.0447158434994535
"49","Single Rosette to Inactive","Mean Temperature Anomaly",4.99212737363274,-18.3839767657413,48.752208278748,54.411406938537,7.70382810477421,14.0078726263673,19,0.327915258418023,12,2.99212737363274,1.10965816645661,0.0323573500116832,0
"50","","Total Precipitation Anomaly",2.60367678891306,-23.1958441042849,53.5990417863959,57.0024946141627,12.784451592347,16.3963232110869,19,0.0471483985043339,12,0.60367678891304,0.166654066878557,0.10575683292194,4.84683350764788
"51","","Drought Index, SPEI",2.48339442013169,-23.6219991656235,54.2107871715104,57.5006406416937,13.3709994395537,16.5166055798683,19,0.01068929459024,12,0.483394420131691,0.102795813219882,0.152273707283107,5.4585788927624
"52","Survival of Single Rosette","Mean Temperature Anomaly",2.00000000024201,-12.3932953127277,30.7865906259394,33.6199075636673,4.10054263149026,16.999999999758,19,-0.0173260324999405,12,6.0942169958814e-10,4.55057247864454e-11,0.422938449644708,10.8023639660102
"53","","Total Precipitation Anomaly",3.21407873560152,-5.77803459436312,19.9842266599293,23.9641668791078,2.04372900041593,15.7859212643985,19,0.453964192983832,12,1.2140787356015,1.39379412556839,0.00142134538605765,0
"54","","Drought Index, SPEI",2.99576902744943,-8.6681175277562,25.3277731104113,29.1015331316805,2.77041003613947,16.0042309725506,19,0.269909009512707,12,0.99576902744943,0.607099862577413,0.0148923287258291,5.34354645048199
